CR; strategy 1 convergence; strategy 1 MAPE; strategy 2 convergence; strategy 2 MAPE; strategy 3 convergence; strategy 3 MAPE
0.870000;6.800000;8.701972;1.600000;15.426136;2.800000;9.534296;
0.880000;7.600000;8.704845;2.400000;15.616858;7.600000;9.234731;
0.890000;8.400000;8.739325;1.200000;16.257686;7.200000;9.561867;
0.900000;5.200000;9.316429;2.000000;15.323334;7.200000;9.748282;
0.910000;8.400000;9.347706;1.200000;16.333443;6.800000;9.368365;
0.920000;5.200000;9.448449;2.000000;17.458162;6.400000;9.333302;
0.930000;9.200000;9.369004;0.000000;17.068409;9.600000;9.367550;
0.940000;4.400000;10.086552;0.400000;18.977187;4.000000;10.153035;
0.950000;6.000000;9.902771;1.600000;17.471184;5.600000;9.433748;
0.960000;6.000000;10.106583;0.400000;18.866449;6.000000;9.528614;
0.970000;6.400000;10.360557;1.200000;18.579628;8.800000;9.609663;
0.980000;3.200000;10.752560;0.800000;19.672806;4.800000;9.910751;
0.990000;6.400000;11.292341;0.400000;21.457988;7.600000;10.019338;
1.000000;1.600000;12.126831;0.000000;21.964965;7.600000;10.419023;
